transaction_id,timestamp,user_id,account_id,amount,transaction_type,merchant,merchant_category,card_number,location,currency,status,channel,description,risk_score,fraud_indicator,ip_address,device_id,session_id,day_of_week,hour,is_weekend,is_business_hours,amount_category
TXN1B09E9E1D8A0,2024-01-01 01:33:20,USER00424,ACC535050,112.86,refund,Hulu,entertainment,****2024,"Jacksonville, FL",USD,success,pos,Refund at Hulu,0.072,none,245.218.15.87,DEV910250,SES99728F84,Monday,1,False,False,medium
TXN0A61158703C3,2024-01-01 02:14:33,USER00184,ACC290672,185.58,deposit,Subway,restaurant,****8695,"Jacksonville, FL",USD,success,pos,Deposit at Subway,0.081,none,84.91.145.195,DEV519892,SES203428B1,Monday,2,False,False,medium
TXNECA231BD1080,2024-01-01 03:04:12,USER00157,ACC981334,728.05,withdrawal,Starbucks,restaurant,****3496,"New York, NY",USD,success,phone,Withdrawal at Starbucks,0.22,none,188.249.58.90,DEV295910,SESC20E5FCF,Monday,3,False,False,medium
TXND79A452E41B2,2024-01-01 03:15:04,USER00040,ACC632342,78.84,deposit,McDonald's,restaurant,****6530,"San Jose, CA",USD,success,phone,Deposit at McDonald's,0.203,none,200.137.120.131,DEV228028,SES3BD2883C,Monday,3,False,False,small
TXNB2A49C659BBC,2024-01-01 04:12:20,USER00154,ACC611945,96.4,payment,AMC Theaters,entertainment,****3727,"Columbus, OH",USD,success,phone,Payment at AMC Theaters,0.146,none,58.215.92.254,DEV186074,SES2662870D,Monday,4,False,False,small
TXN57A28DC80AF1,2024-01-01 05:23:52,USER00428,ACC140163,637.53,deposit,Internet Provider,utilities,****2221,"Phoenix, AZ",USD,success,online,Deposit at Internet Provider,0.231,none,12.112.111.249,DEV800912,SESD250916F,Monday,5,False,False,medium
TXN7905C14D4451,2024-01-01 08:19:28,USER00026,ACC169403,29.64,transfer,McDonald's,restaurant,****4527,"Austin, TX",USD,success,mobile,Transfer at McDonald's,0.198,none,96.20.72.107,DEV785376,SES91D7C7CA,Monday,8,False,False,small
TXN106D463FFBCB,2024-01-01 09:31:16,USER00149,ACC527398,609.18,refund,Kroger,grocery,****7122,"Charlotte, NC",USD,success,atm,Refund at Kroger,0.136,none,155.235.215.55,DEV326774,SESB7163C87,Monday,9,False,True,medium
TXNBD5DF8526164,2024-01-01 10:09:38,USER00353,ACC196214,80.43,purchase,Exxon,gas,****8761,"Columbus, OH",USD,success,phone,Purchase at Exxon,0.139,none,15.238.32.77,DEV524209,SES3690952D,Monday,10,False,True,small
TXN67F0ED540630,2024-01-01 10:11:47,USER00471,ACC517368,928.61,deposit,Electric Company,utilities,****4412,"Dallas, TX",USD,success,atm,Deposit at Electric Company,0.235,none,66.225.141.103,DEV604481,SES8608B51E,Monday,10,False,True,medium
