transaction_id,timestamp,account_id,user_id,amount,transaction_type,merchant,card_number,location,status,description,risk_score,day_of_week,hour,is_weekend
TXN00000875,2024-01-01 01:16:08,ACC000129,USER0341,60.24,payment,McDonald's,****2409,"Jacksonville, FL",success,Normal deposit transaction,0.13,Monday,1,False
TXN00000074,2024-01-01 09:46:19,ACC000039,USER0229,727.95,payment,Pharmacy,****6654,"Philadelphia, PA",success,Normal payment transaction,0.25,Monday,9,False
TXN00000020,2024-01-01 12:16:59,ACC000188,USER0402,538.41,payment,Pharmacy,****3536,"Houston, TX",success,Normal deposit transaction,0.14,Monday,12,False
TXN00000667,2024-01-01 20:14:44,ACC000062,USER0247,126.66,deposit,Restaurant,****4363,"San Antonio, TX",success,Normal withdrawal transaction,0.27,Monday,20,False
TXN00000472,2024-01-01 22:35:52,ACC000008,USER0121,425.77,transfer,Restaurant,****6212,"Jacksonville, FL",success,Normal transfer transaction,0.18,Monday,22,False
TXN00000126,2024-01-02 02:01:16,ACC000187,USER0312,34.16,payment,Gas Station,****2821,"Phoenix, AZ",success,Normal withdrawal transaction,0.16,Tuesday,2,False
TXN00000708,2024-01-02 02:55:31,ACC000163,USER0073,42.53,withdrawal,McDonald's,****2503,"Chicago, IL",success,Normal payment transaction,0.21,Tuesday,2,False
TXN00000003,2024-01-02 05:44:27,ACC000196,USER0173,35.32,purchase,Target,****7224,"Los Angeles, CA",success,Normal deposit transaction,0.27,Tuesday,5,False
TXN00000668,2024-01-02 11:00:04,ACC000037,USER0149,113.16,transfer,Grocery Store,****6896,"New York, NY",success,Normal purchase transaction,0.14,Tuesday,11,False
TXN00000764,2024-01-02 11:56:46,ACC000026,USER0221,74.13,transfer,Grocery Store,****2388,"Dallas, TX",success,Normal payment transaction,0.28,Tuesday,11,False
TXN00000884,2024-01-02 15:39:44,ACC000040,USER0310,18.09,purchase,Starbucks,****5050,"Houston, TX",success,Normal purchase transaction,0.19,Tuesday,15,False
TXN00000298,2024-01-02 20:46:15,ACC000080,USER0067,176.01,purchase,Restaurant,****9246,"San Jose, CA",success,Normal deposit transaction,0.13,Tuesday,20,False
TXN00000760,2024-01-02 22:27:44,ACC000190,USER0339,72.29,payment,Walmart,****8350,"Chicago, IL",success,Normal payment transaction,0.28,Tuesday,22,False
TXN00000380,2024-01-03 05:26:31,ACC000162,USER0265,179.19,payment,Bank ATM,****8972,"Phoenix, AZ",success,Normal deposit transaction,0.21,Wednesday,5,False
TXN00000680,2024-01-03 09:18:52,ACC000104,USER0421,199.38,payment,Amazon,****8733,"Austin, TX",success,Normal payment transaction,0.3,Wednesday,9,False
TXN00000823,2024-01-03 17:50:57,ACC000171,USER0297,20.17,payment,McDonald's,****6304,"Austin, TX",success,Normal deposit transaction,0.1,Wednesday,17,False
TXN00000340,2024-01-03 17:55:35,ACC000147,USER0306,13.15,transfer,Target,****5992,"Houston, TX",success,Normal deposit transaction,0.14,Wednesday,17,False
TXN00000959,2024-01-04 05:33:47,ACC000030,USER0020,43.49,transfer,Pharmacy,****3797,"Austin, TX",success,Normal payment transaction,0.2,Thursday,5,False
TXN00000407,2024-01-04 06:41:31,ACC000164,USER0032,574.45,deposit,Gas Station,****7046,"Jacksonville, FL",success,Normal purchase transaction,0.26,Thursday,6,False
TXN00000244,2024-01-04 07:02:30,ACC000046,USER0477,184.44,purchase,Gas Station,****4678,"Philadelphia, PA",success,Normal withdrawal transaction,0.18,Thursday,7,False
TXN00000515,2024-01-04 22:46:26,ACC000166,USER0047,436.63,purchase,Pharmacy,****5994,"Chicago, IL",success,Normal transfer transaction,0.27,Thursday,22,False
TXN00000605,2024-01-05 00:25:07,ACC000118,USER0355,132.88,transfer,Pharmacy,****5961,"San Jose, CA",success,Normal payment transaction,0.17,Friday,0,False
TXN00000498,2024-01-05 01:21:03,ACC000104,USER0061,145.6,withdrawal,Supermarket,****9791,"Chicago, IL",success,Normal payment transaction,0.15,Friday,1,False
TXN00000315,2024-01-05 03:25:26,ACC000024,USER0406,112.07,payment,CVS Pharmacy,****9328,"Dallas, TX",success,Normal withdrawal transaction,0.23,Friday,3,False
TXN00000603,2024-01-05 03:47:42,ACC000101,USER0024,158.3,purchase,Gas Station,****5876,"Philadelphia, PA",success,Normal payment transaction,0.24,Friday,3,False
TXN00000638,2024-01-05 08:50:13,ACC000149,USER0228,142.6,purchase,Bank ATM,****7583,"San Jose, CA",success,Normal purchase transaction,0.2,Friday,8,False
TXN00000346,2024-01-05 16:40:01,ACC000055,USER0465,815.36,purchase,Home Depot,****9904,"Dallas, TX",success,Normal transfer transaction,0.23,Friday,16,False
FRAUD_AMT_00044,2024-01-05 22:12:00,FRAUD_AMT_010,FRAUD_USER_024,372502.71,transfer,Investment Firm,****8004,Cayman Islands,success,Unusual high-value transaction,0.78,Friday,22,False
FRAUD_AMT_00002,2024-01-06 05:47:00,FRAUD_AMT_003,FRAUD_USER_028,343802.95,transfer,Luxury Dealer,****5275,Monaco,success,Unusual high-value transaction,0.85,Saturday,5,True
TXN00000651,2024-01-06 08:43:58,ACC000161,USER0156,853.02,withdrawal,Best Buy,****9090,"Philadelphia, PA",success,Normal purchase transaction,0.16,Saturday,8,True
FRAUD_AMT_00010,2024-01-06 09:35:00,FRAUD_AMT_013,FRAUD_USER_035,25000.0,transfer,Unknown Merchant,****3023,"Las Vegas, NV",success,Unusual high-value transaction,0.8,Saturday,9,True
TXN00000639,2024-01-06 10:27:11,ACC000082,USER0196,172.63,deposit,Target,****2878,"Los Angeles, CA",success,Normal payment transaction,0.13,Saturday,10,True
TXN00000948,2024-01-06 12:05:49,ACC000142,USER0033,4067.37,purchase,Grocery Store,****6932,"Dallas, TX",success,Normal withdrawal transaction,0.3,Saturday,12,True
TXN00000670,2024-01-06 21:08:24,ACC000087,USER0480,177.58,withdrawal,CVS Pharmacy,****8474,"Houston, TX",success,Normal deposit transaction,0.26,Saturday,21,True
TXN00000030,2024-01-07 05:47:59,ACC000172,USER0443,186.51,withdrawal,Home Depot,****3608,"Jacksonville, FL",success,Normal purchase transaction,0.18,Sunday,5,True
TXN00000421,2024-01-07 09:10:22,ACC000114,USER0320,198.08,withdrawal,Supermarket,****1735,"Houston, TX",success,Normal withdrawal transaction,0.24,Sunday,9,True
TXN00000433,2024-01-07 11:05:44,ACC000121,USER0365,876.91,deposit,Shell Gas,****7348,"San Diego, CA",success,Normal transfer transaction,0.13,Sunday,11,True
TXN00000880,2024-01-07 13:05:48,ACC000063,USER0298,181.84,payment,Online Store,****3085,"San Jose, CA",success,Normal payment transaction,0.28,Sunday,13,True
FRAUD_AMT_00018,2024-01-08 06:36:00,FRAUD_AMT_020,FRAUD_USER_029,160271.14,transfer,Luxury Dealer,****8559,"Las Vegas, NV",success,Unusual high-value transaction,0.9,Monday,6,False
TXN00000242,2024-01-08 10:51:27,ACC000183,USER0500,17.46,payment,Target,****9128,"San Diego, CA",success,Normal payment transaction,0.17,Monday,10,False
TXN00000045,2024-01-08 12:21:42,ACC000043,USER0431,83.84,transfer,McDonald's,****9751,"New York, NY",success,Normal transfer transaction,0.22,Monday,12,False
TXN00000860,2024-01-08 15:42:33,ACC000141,USER0044,56.79,deposit,Gas Station,****4474,"Chicago, IL",success,Normal transfer transaction,0.2,Monday,15,False
TXN00000146,2024-01-08 15:56:40,ACC000078,USER0248,130.17,withdrawal,Restaurant,****5873,"San Diego, CA",success,Normal purchase transaction,0.24,Monday,15,False
TXN00000428,2024-01-08 17:17:14,ACC000169,USER0071,179.95,purchase,Restaurant,****9531,"Austin, TX",success,Normal payment transaction,0.27,Monday,17,False
TXN00000684,2024-01-09 04:09:21,ACC000156,USER0294,160.83,transfer,Restaurant,****4345,"San Antonio, TX",success,Normal purchase transaction,0.21,Tuesday,4,False
TXN00000016,2024-01-09 10:04:32,ACC000055,USER0277,135.45,withdrawal,Pharmacy,****4981,"San Diego, CA",success,Normal transfer transaction,0.14,Tuesday,10,False
TXN00000716,2024-01-09 11:40:45,ACC000166,USER0076,141.01,deposit,Supermarket,****3414,"Phoenix, AZ",success,Normal withdrawal transaction,0.22,Tuesday,11,False
TXN00000376,2024-01-09 16:22:25,ACC000031,USER0358,565.76,payment,Supermarket,****6171,"Jacksonville, FL",success,Normal purchase transaction,0.1,Tuesday,16,False
TXN00000558,2024-01-10 01:11:35,ACC000181,USER0085,156.98,transfer,Gas Station,****3203,"Phoenix, AZ",success,Normal transfer transaction,0.2,Wednesday,1,False
TXN00000262,2024-01-10 02:03:14,ACC000123,USER0001,8.89,deposit,Grocery Store,****3137,"Philadelphia, PA",success,Normal withdrawal transaction,0.28,Wednesday,2,False
TXN00000445,2024-01-10 04:54:02,ACC000077,USER0170,168.41,purchase,Walmart,****2784,"San Antonio, TX",success,Normal withdrawal transaction,0.13,Wednesday,4,False
TXN00000458,2024-01-10 14:24:45,ACC000012,USER0352,448.79,payment,Target,****6460,"San Diego, CA",success,Normal purchase transaction,0.12,Wednesday,14,False
TXN00000031,2024-01-10 15:14:12,ACC000059,USER0115,444.15,purchase,Grocery Store,****7528,"Philadelphia, PA",success,Normal deposit transaction,0.27,Wednesday,15,False
TXN00000999,2024-01-10 17:47:25,ACC000025,USER0065,21.39,withdrawal,Pharmacy,****8063,"Phoenix, AZ",success,Normal deposit transaction,0.29,Wednesday,17,False
TXN00000894,2024-01-10 23:04:28,ACC000045,USER0165,872.54,purchase,Supermarket,****7187,"Chicago, IL",success,Normal payment transaction,0.21,Wednesday,23,False
TXN00000530,2024-01-11 04:43:35,ACC000159,USER0431,9.84,withdrawal,Supermarket,****6855,"Los Angeles, CA",success,Normal deposit transaction,0.11,Thursday,4,False
TXN00000029,2024-01-11 11:13:43,ACC000200,USER0287,25.04,transfer,McDonald's,****4878,"Chicago, IL",success,Normal withdrawal transaction,0.28,Thursday,11,False
TXN00000677,2024-01-11 14:32:39,ACC000111,USER0210,92.97,deposit,Pharmacy,****6194,"Phoenix, AZ",success,Normal transfer transaction,0.1,Thursday,14,False
TXN00000114,2024-01-11 14:58:51,ACC000155,USER0244,41.71,payment,McDonald's,****2013,"San Diego, CA",success,Normal purchase transaction,0.26,Thursday,14,False
TXN00000135,2024-01-11 23:55:58,ACC000071,USER0328,199.64,purchase,Target,****7655,"Philadelphia, PA",success,Normal payment transaction,0.26,Thursday,23,False
TXN00000299,2024-01-12 09:18:29,ACC000176,USER0069,470.27,deposit,Pharmacy,****6885,"Houston, TX",success,Normal withdrawal transaction,0.29,Friday,9,False
TXN00000175,2024-01-12 13:22:44,ACC000018,USER0479,198.85,transfer,Walmart,****5703,"San Antonio, TX",success,Normal withdrawal transaction,0.25,Friday,13,False
TXN00000693,2024-01-12 14:01:04,ACC000119,USER0196,136.75,deposit,Restaurant,****4185,"San Antonio, TX",success,Normal purchase transaction,0.1,Friday,14,False
TXN00000596,2024-01-12 20:39:28,ACC000188,USER0465,147.65,payment,McDonald's,****4463,"New York, NY",success,Normal deposit transaction,0.16,Friday,20,False
TXN00000005,2024-01-12 21:14:49,ACC000060,USER0444,20.56,purchase,Restaurant,****5554,"San Diego, CA",success,Normal deposit transaction,0.13,Friday,21,False
TXN00000095,2024-01-12 23:50:58,ACC000008,USER0032,566.43,transfer,Restaurant,****7984,"Austin, TX",success,Normal purchase transaction,0.2,Friday,23,False
TXN00000127,2024-01-13 07:26:40,ACC000128,USER0306,288.69,payment,Amazon,****9443,"San Jose, CA",success,Normal withdrawal transaction,0.24,Saturday,7,True
TXN00000104,2024-01-13 21:05:17,ACC000156,USER0227,87.68,transfer,Home Depot,****4531,"Dallas, TX",success,Normal purchase transaction,0.17,Saturday,21,True
TXN00000987,2024-01-14 02:19:50,ACC000043,USER0236,566.97,purchase,McDonald's,****4283,"Chicago, IL",success,Normal deposit transaction,0.16,Sunday,2,True
TXN00000027,2024-01-14 02:40:27,ACC000034,USER0327,466.85,deposit,Shell Gas,****8239,"Dallas, TX",success,Normal transfer transaction,0.21,Sunday,2,True
TXN00000070,2024-01-14 06:33:23,ACC000114,USER0390,102.21,purchase,Grocery Store,****5375,"Dallas, TX",success,Normal withdrawal transaction,0.29,Sunday,6,True
TXN00000060,2024-01-14 08:55:30,ACC000126,USER0038,17.74,payment,Walmart,****3485,"Chicago, IL",success,Normal payment transaction,0.29,Sunday,8,True
TXN00000442,2024-01-14 13:19:19,ACC000047,USER0061,2155.12,withdrawal,Grocery Store,****1057,"San Jose, CA",success,Normal deposit transaction,0.1,Sunday,13,True
TXN00000059,2024-01-14 17:18:44,ACC000027,USER0447,802.23,purchase,CVS Pharmacy,****8690,"San Diego, CA",success,Normal transfer transaction,0.17,Sunday,17,True
TXN00000325,2024-01-14 21:03:12,ACC000074,USER0350,158.18,deposit,McDonald's,****2016,"Jacksonville, FL",success,Normal deposit transaction,0.14,Sunday,21,True
TXN00000883,2024-01-14 22:13:33,ACC000127,USER0070,149.38,withdrawal,McDonald's,****5929,"Austin, TX",success,Normal deposit transaction,0.24,Sunday,22,True
